timestamp,symbol,payload_id,prompt_filepath,gemini_action,gemini_confidence,chronos_action,chronos_confidence,agreement_valid,gate_approved,final_action,final_confidence,reason,broker_result
2026-09-20 01:16:04,EURUSD-OTC,EURUSDOTC0920011601,data_base/evaluate_output\EURUSD-OTC\EURUSDOTC0920011601.txt,PUT,65.0,PUT,62.0,True,True,PUT,65.0,Gemini PUT 65% + Chronos PUT 62%: AGREEMENT,PENDING
2026-09-20 01:16:04,GBPJPY-OTC,GBPJPYOTC0920011601,data_base/evaluate_output\GBPJPY-OTC\GBPJPYOTC0920011601.txt,WAIT,45.0,PUT,62.0,False,False,WAIT,45.0,Gemini WAIT 45% + Chronos PUT 62%: NO AGREEMENT,PENDING
2026-09-20 01:16:04,USDCAD-OTC,USDCADOTC0920011601,data_base/evaluate_output\USDCAD-OTC\USDCADOTC0920011601.txt,WAIT,45.0,PUT,90.0,False,False,WAIT,45.0,Gemini WAIT 45% + Chronos PUT 90%: NO AGREEMENT,PENDING
2026-09-20 01:16:04,AUDJPY-OTC,AUDJPYOTC0920011601,data_base/evaluate_output\AUDJPY-OTC\AUDJPYOTC0920011601.txt,WAIT,45.0,PUT,95.0,False,False,WAIT,45.0,Gemini WAIT 45% + Chronos PUT 95%: NO AGREEMENT,PENDING
2026-09-20 01:17:09,USDCAD-OTC,USDCADOTC0920011706,data_base/evaluate_output\USDCAD-OTC\USDCADOTC0920011706.txt,WAIT,45.0,PUT,90.0,False,False,WAIT,45.0,Gemini WAIT 45% + Chronos PUT 90%: NO AGREEMENT,PENDING
2026-09-20 01:17:09,EURUSD-OTC,EURUSDOTC0920011706,data_base/evaluate_output\EURUSD-OTC\EURUSDOTC0920011706.txt,WAIT,45.0,PUT,62.0,False,False,WAIT,45.0,Gemini WAIT 45% + Chronos PUT 62%: NO AGREEMENT,PENDING
2026-09-20 01:17:09,AUDJPY-OTC,AUDJPYOTC0920011706,data_base/evaluate_output\AUDJPY-OTC\AUDJPYOTC0920011706.txt,WAIT,45.0,PUT,100.0,False,False,WAIT,45.0,Gemini WAIT 45% + Chronos PUT 100%: NO AGREEMENT,PENDING
2026-09-20 01:17:09,GBPJPY-OTC,GBPJPYOTC0920011706,data_base/evaluate_output\GBPJPY-OTC\GBPJPYOTC0920011706.txt,WAIT,45.0,PUT,67.0,False,False,WAIT,45.0,Gemini WAIT 45% + Chronos PUT 67%: NO AGREEMENT,PENDING
2026-09-20 01:18:04,AUDJPY-OTC,AUDJPYOTC0920011801,data_base/evaluate_output\AUDJPY-OTC\AUDJPYOTC0920011801.txt,WAIT,45.0,PUT,100.0,False,False,WAIT,45.0,Gemini WAIT 45% + Chronos PUT 100%: NO AGREEMENT,PENDING
2026-09-20 01:18:04,GBPJPY-OTC,GBPJPYOTC0920011801,data_base/evaluate_output\GBPJPY-OTC\GBPJPYOTC0920011801.txt,WAIT,45.0,PUT,67.0,False,False,WAIT,45.0,Gemini WAIT 45% + Chronos PUT 67%: NO AGREEMENT,PENDING
2026-09-20 01:18:04,EURUSD-OTC,EURUSDOTC0920011801,data_base/evaluate_output\EURUSD-OTC\EURUSDOTC0920011801.txt,WAIT,40.0,PUT,62.0,False,False,WAIT,40.0,Gemini WAIT 40% + Chronos PUT 62%: NO AGREEMENT,PENDING
2026-09-20 01:18:04,USDCAD-OTC,USDCADOTC0920011801,data_base/evaluate_output\USDCAD-OTC\USDCADOTC0920011801.txt,WAIT,50.0,PUT,90.0,False,False,WAIT,50.0,Gemini WAIT 50% + Chronos PUT 90%: NO AGREEMENT,PENDING
2026-09-20 01:19:05,AUDJPY-OTC,AUDJPYOTC0920011903,data_base/evaluate_output\AUDJPY-OTC\AUDJPYOTC0920011903.txt,PUT,75.0,PUT,95.0,True,True,PUT,75.0,Gemini PUT 75% + Chronos PUT 95%: AGREEMENT,PENDING
2026-09-20 01:19:05,USDCAD-OTC,USDCADOTC0920011903,data_base/evaluate_output\USDCAD-OTC\USDCADOTC0920011903.txt,CALL,78.0,PUT,90.0,False,False,WAIT,78.0,Gemini CALL 78% + Chronos PUT 90%: NO AGREEMENT,PENDING
2026-09-20 01:19:05,EURUSD-OTC,EURUSDOTC0920011903,data_base/evaluate_output\EURUSD-OTC\EURUSDOTC0920011903.txt,PUT,75.0,PUT,62.0,True,True,PUT,75.0,Gemini PUT 75% + Chronos PUT 62%: AGREEMENT,PENDING
